ts	host	crash_points_requested	cycles_arg	crash_points_reported	worlds	state_files	state_bytes	mode	checker	checker_cmd	rep	wall_s	per_world_s	maxrss	maxrss_unit	work_max_bytes	work_final_bytes	sample_interval_s	trace_bytes	report_bytes	case_bytes	verdict	oracle_verified	note
2026-09-20T10:07:22Z	Linux-aarch64	10	4	12	13	0	1024	wrappers	none		1	0.082	0.00630	11720	KiB		25313		9928	913	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:23Z	Linux-aarch64	50	17	51	52	0	1024	wrappers	none		1	0.217	0.00417	11708	KiB		178578		131920	914	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:23Z	Linux-aarch64	100	34	102	103	0	1024	wrappers	none		1	0.450	0.00437	11724	KiB		586033		499528	917	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:23Z	Linux-aarch64	250	84	252	253	0	1024	wrappers	none		1	1.302	0.00515	11716	KiB		3157153		2947528	918	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:25Z	Linux-aarch64	500	167	501	502	0	1024	wrappers	none		1	3.335	0.00664	11724	KiB		11926594		11515120	919	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:28Z	Linux-aarch64	1000	334	1002	1003	0	1024	wrappers	none		1	9.183	0.00916	11724	KiB		46605234		45787528	922	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:37Z	Linux-aarch64	10	4	12	13	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.079	0.00608	11724	KiB		25472		9928	976	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:37Z	Linux-aarch64	50	17	51	52	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.270	0.00519	11724	KiB		178919		131920	977	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:38Z	Linux-aarch64	100	34	102	103	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.513	0.00498	11724	KiB		586134		499528	981	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:38Z	Linux-aarch64	250	84	252	253	0	1024	wrappers	cheap	/w/check-kept.sh	1	1.518	0.00600	11720	KiB		3156076		2947528	982	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:40Z	Linux-aarch64	500	167	501	502	0	1024	wrappers	cheap	/w/check-kept.sh	1	3.653	0.00728	11724	KiB		11924355		11515120	983	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:43Z	Linux-aarch64	1000	334	1002	1003	0	1024	wrappers	cheap	/w/check-kept.sh	1	9.864	0.00983	11724	KiB		46591301		45787528	987	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:53Z	Linux-aarch64	10	4	12	13	0	1024	syscalls	none		1	0.075	0.00576	11724	KiB		28355		10152	1152	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:53Z	Linux-aarch64	50	17	51	52	0	1024	syscalls	none		1	0.255	0.00491	11724	KiB		191429		132768	1153	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:54Z	Linux-aarch64	100	34	102	103	0	1024	syscalls	none		1	0.518	0.00503	11720	KiB		612197		501192	1156	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:54Z	Linux-aarch64	250	84	252	253	0	1024	syscalls	none		1	1.500	0.00593	11716	KiB		3221767		2951592	1157	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:56Z	Linux-aarch64	500	167	501	502	0	1024	syscalls	none		1	3.577	0.00712	11712	KiB		12055236		11523168	1158	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:07:59Z	Linux-aarch64	1000	334	1002	1003	0	1024	syscalls	none		1	10.180	0.01015	11724	KiB		46862800		45803592	1161	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:08:10Z	Linux-aarch64	10	4	12	13	0	1024	syscalls	cheap	/w/check-kept.sh	1	0.078	0.00601	11724	KiB		28572		10152	1215	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:08:10Z	Linux-aarch64	50	17	51	52	0	1024	syscalls	cheap	/w/check-kept.sh	1	0.259	0.00498	11724	KiB		192010		132768	1216	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:08:10Z	Linux-aarch64	100	34	102	103	0	1024	syscalls	cheap	/w/check-kept.sh	1	0.527	0.00512	11732	KiB		612298		501192	1220	0	PASS	True	
2026-09-20T10:08:11Z	Linux-aarch64	250	84	252	253	0	1024	syscalls	cheap	/w/check-kept.sh	1	1.141	0.00451	11724	KiB		3220690		2951592	1221	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
