ts	host	crash_points_requested	cycles_arg	crash_points_reported	worlds	state_files	state_bytes	mode	checker	checker_cmd	rep	wall_s	per_world_s	maxrss	maxrss_unit	work_max_bytes	work_final_bytes	sample_interval_s	trace_bytes	report_bytes	case_bytes	verdict	oracle_verified	note
2026-09-20T10:25:47Z	Linux-aarch64	10	4	12	13	0	1024	wrappers	none		1	0.032	0.00248	11716	KiB		25313		9928	913	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:47Z	Linux-aarch64	50	17	51	52	0	1024	wrappers	none		1	0.105	0.00203	11724	KiB		178578		131920	914	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:47Z	Linux-aarch64	100	34	102	103	0	1024	wrappers	none		1	0.204	0.00198	11724	KiB		586033		499528	917	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:47Z	Linux-aarch64	250	84	252	253	0	1024	wrappers	none		1	0.584	0.00231	11720	KiB		3157153		2947528	918	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:48Z	Linux-aarch64	500	167	501	502	0	1024	wrappers	none		1	1.455	0.00290	11724	KiB		11926594		11515120	919	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:49Z	Linux-aarch64	1000	334	1002	1003	0	1024	wrappers	none		1	4.128	0.00412	11724	KiB		46605234		45787528	922	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:54Z	Linux-aarch64	10	4	12	13	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.039	0.00303	11724	KiB		25472		9928	976	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:54Z	Linux-aarch64	50	17	51	52	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.121	0.00233	11724	KiB		178919		131920	977	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:54Z	Linux-aarch64	100	34	102	103	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.239	0.00232	11724	KiB		586134		499528	981	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:54Z	Linux-aarch64	250	84	252	253	0	1024	wrappers	cheap	/w/check-kept.sh	1	0.665	0.00263	11724	KiB		3156076		2947528	982	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:55Z	Linux-aarch64	500	167	501	502	0	1024	wrappers	cheap	/w/check-kept.sh	1	1.621	0.00323	11708	KiB		11924355		11515120	983	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
2026-09-20T10:25:56Z	Linux-aarch64	1000	334	1002	1003	0	1024	wrappers	cheap	/w/check-kept.sh	1	4.433	0.00442	11724	KiB		46591301		45787528	987	0	PASS	True	the engine's `version` probe reached the same peak, so this figure is a floor rather than the exploration's own
